index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2302,64,4.898545543001092,295.0,260073.0,True,4000,0.5,1000
2303,65,4.974364811001578,295.0,264074.0,True,4000,0.5,1000
2304,66,5.050975850001123,295.0,268075.0,True,4000,0.5,1000
2305,67,5.127130411001417,295.0,272076.0,True,4000,0.5,1000
2306,68,5.203103684998496,295.0,276077.0,True,4000,0.5,1000
2307,69,5.279507597999327,295.0,280078.0,True,4000,0.5,1000
2308,70,5.355641246998857,295.0,284079.0,True,4000,0.5,1000
2309,71,5.431649523001397,295.0,288080.0,True,4000,0.5,1000
2310,72,5.508142462000251,295.0,292081.0,True,4000,0.5,1000
2311,73,5.58453742599886,295.0,296082.0,True,4000,0.5,1000
2312,74,5.660354894000193,295.0,300083.0,True,4000,0.5,1000
2313,75,5.736407159998635,295.0,304084.0,True,4000,0.5,1000
2314,76,5.812621040000522,295.0,308085.0,True,4000,0.5,1000
2315,77,5.888923077000072,295.0,312086.0,True,4000,0.5,1000
2316,78,5.964969420998386,295.0,316087.0,True,4000,0.5,1000
2317,79,6.041304238999146,295.0,320088.0,True,4000,0.5,1000
2318,80,6.11771678399964,295.0,324089.0,True,4000,0.5,1000
2319,81,6.1941200159999426,295.0,328090.0,True,4000,0.5,1000
2320,82,6.2705098320002435,295.0,332091.0,True,4000,0.5,1000
2321,83,6.346283432998462,295.0,336092.0,True,4000,0.5,1000
2322,84,6.422918157000822,295.0,340093.0,True,4000,0.5,1000
2323,85,6.499676097999327,295.0,344094.0,True,4000,0.5,1000
2324,86,6.576387597000576,295.0,348095.0,True,4000,0.5,1000
2325,87,6.652733986000385,295.0,352096.0,True,4000,0.5,1000
2326,88,6.729461109000113,295.0,356097.0,True,4000,0.5,1000
2327,89,6.806572794001113,295.0,360098.0,True,4000,0.5,1000
2328,90,6.884008717999677,295.0,364099.0,True,4000,0.5,1000
2329,91,6.961255318998155,295.0,368100.0,True,4000,0.5,1000
2330,92,7.038252768001257,295.0,372101.0,True,4000,0.5,1000
2331,93,7.115559927999129,295.0,376102.0,True,4000,0.5,1000
2332,94,7.192528662999393,295.0,380103.0,True,4000,0.5,1000
2333,95,7.26973994799846,295.0,384104.0,True,4000,0.5,1000
2334,96,7.3471752219993505,295.0,388105.0,True,4000,0.5,1000
2335,97,7.424332845999743,295.0,392106.0,True,4000,0.5,1000
2336,98,7.501542589001474,295.0,396107.0,True,4000,0.5,1000
2337,99,7.578886544000852,295.0,400108.0,True,4000,0.5,1000
2338,100,7.655719096001121,295.0,404109.0,True,4000,0.5,1000
2339,101,7.732940898000379,295.0,408110.0,True,4000,0.5,1000
2340,102,0.01006367800073349,295.0,412111.0,True,4000,0.5,1000
2341,103,0.10068984600002295,295.0,416112.0,True,4000,0.5,1000
2342,104,0.18545478600208298,295.0,420113.0,True,4000,0.5,1000
2343,105,0.2719517330006056,295.0,424114.0,True,4000,0.5,1000
2344,106,0.349467996002204,295.0,428115.0,True,4000,0.5,1000
2345,107,0.4249915370019153,295.0,432116.0,True,4000,0.5,1000
2346,108,0.5032806780000101,295.0,436117.0,True,4000,0.5,1000
2347,109,0.5811311130019021,295.0,440118.0,True,4000,0.5,1000
2348,110,0.6590143540015561,295.0,444119.0,True,4000,0.5,1000
2349,111,0.7355140399995435,295.0,448120.0,True,4000,0.5,1000
2350,112,0.8112304150017735,295.0,452121.0,True,4000,0.5,1000
2351,113,0.887748894001561,295.0,456122.0,True,4000,0.5,1000
2352,114,0.9640729570019175,295.0,460123.0,True,4000,0.5,1000
2353,115,1.0408905660005985,295.0,464124.0,True,4000,0.5,1000
2354,116,1.1167077610007254,295.0,468125.0,True,4000,0.5,1000
2355,117,1.1927987490016676,295.0,472126.0,True,4000,0.5,1000
2356,118,1.2692126990004908,295.0,476127.0,True,4000,0.5,1000
2357,119,1.345586113002355,295.0,480128.0,True,4000,0.5,1000
2358,120,1.4216991909997887,295.0,484129.0,True,4000,0.5,1000
2359,121,1.498089330001676,295.0,488130.0,True,4000,0.5,1000
2360,122,1.5742458480017376,295.0,492131.0,True,4000,0.5,1000
2361,123,1.6502978640019137,295.0,496132.0,True,4000,0.5,1000
2362,124,1.72657584999979,295.0,500133.0,True,4000,0.5,1000
2363,125,1.8034399179996399,295.0,504134.0,True,4000,0.5,1000
2364,126,1.8801137180016667,295.0,508135.0,True,4000,0.5,1000
2365,127,1.9569575160021486,295.0,512136.0,True,4000,0.5,1000
2366,128,2.0344287490006536,295.0,516137.0,True,4000,0.5,1000
2367,129,2.11057321699991,295.0,520138.0,True,4000,0.5,1000
