index,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
181,1000,296.0,13282,47.63951129199995,"[15, 8, 15, 0, 7, 21, 10, 18, 14, 9, 4, 23, 7, 0, 22, 5, 17, 13, 11, 2, 19, 6, 24, 9, 16]",100,1000,39
183,1000,294.0,13461,48.77965903199947,"[2, 4, 13, 4, 24, 11, 23, 3, 6, 18, 10, 1, 17, 12, 5, 19, 20, 9, 15, 8, 22, 14, 0, 7, 21]",100,1000,40
185,1000,296.0,13860,51.420394544999,"[24, 17, 1, 23, 12, 3, 15, 24, 4, 6, 4, 18, 16, 0, 5, 10, 21, 19, 2, 20, 13, 11, 8, 22, 3]",100,1000,41
187,1000,293.0,14102,53.04180142599944,"[19, 10, 0, 23, 21, 11, 3, 13, 16, 22, 20, 4, 6, 8, 13, 23, 1, 18, 5, 15, 2, 9, 7, 14, 17]",100,1000,42
189,1000,295.0,14391,55.60326943800101,"[21, 19, 5, 8, 22, 0, 12, 18, 4, 16, 23, 2, 11, 14, 3, 1, 24, 17, 20, 9, 1, 15, 10, 7, 13]",100,1000,43
191,1000,294.0,14769,58.20937679599956,"[15, 18, 3, 9, 3, 19, 10, 16, 0, 1, 8, 2, 15, 21, 21, 10, 12, 5, 11, 13, 22, 24, 4, 7, 14]",100,1000,44
193,1000,293.0,14996,59.79548444100146,"[19, 9, 15, 4, 8, 18, 21, 24, 0, 21, 3, 17, 12, 16, 1, 6, 10, 23, 7, 24, 2, 20, 14, 5, 22]",100,1000,45
195,1000,295.0,15277,61.80764235999959,"[17, 5, 8, 11, 19, 0, 14, 18, 7, 23, 3, 5, 24, 20, 1, 16, 6, 22, 10, 2, 9, 12, 4, 21, 10]",100,1000,46
197,1000,295.0,15584,64.0338979320004,"[20, 22, 15, 2, 10, 3, 24, 4, 23, 1, 9, 12, 14, 21, 19, 6, 11, 20, 0, 5, 16, 8, 16, 7, 17]",100,1000,47
199,1000,295.0,15973,66.97354174900101,"[2, 18, 12, 10, 22, 0, 3, 21, 12, 24, 16, 11, 15, 4, 9, 23, 5, 14, 17, 6, 13, 19, 7, 1, 20]",100,1000,48
201,1000,295.0,16291,69.3758986210014,"[2, 5, 15, 11, 7, 4, 13, 8, 20, 18, 21, 1, 6, 8, 10, 19, 9, 3, 24, 10, 12, 9, 23, 0, 22]",100,1000,49
203,1000,294.0,16568,71.5277310570018,"[18, 13, 4, 1, 9, 19, 23, 8, 21, 2, 16, 22, 0, 7, 3, 6, 11, 24, 12, 6, 20, 14, 1, 22, 10]",100,1000,50
205,1000,295.0,16935,74.4618141840001,"[18, 13, 0, 20, 23, 15, 10, 8, 3, 12, 21, 18, 5, 7, 14, 11, 3, 22, 19, 16, 2, 17, 24, 1, 9]",100,1000,51
207,1000,295.0,17245,76.94359734699901,"[23, 1, 4, 19, 12, 20, 9, 14, 19, 15, 0, 7, 24, 22, 3, 13, 8, 16, 21, 24, 11, 5, 18, 6, 17]",100,1000,52
209,1000,295.0,17569,82.42986428099903,"[6, 17, 18, 22, 7, 14, 1, 5, 0, 19, 11, 15, 2, 21, 16, 8, 3, 24, 4, 16, 20, 6, 10, 23, 13]",100,1000,53
211,1000,293.0,17858,84.84528103400226,"[12, 1, 22, 18, 23, 8, 17, 24, 14, 5, 19, 9, 13, 20, 11, 3, 24, 10, 8, 21, 0, 16, 6, 15, 2]",100,1000,54
213,1000,289.0,18035,86.3824185600024,"[5, 10, 24, 19, 3, 14, 12, 0, 9, 7, 16, 18, 8, 23, 17, 9, 13, 4, 20, 4, 20, 12, 5, 2, 8]",100,1000,55
215,1000,293.0,18244,88.15787384400028,"[17, 1, 23, 18, 6, 14, 24, 0, 16, 8, 23, 12, 4, 1, 20, 0, 2, 9, 13, 3, 11, 15, 5, 19, 4]",100,1000,56
217,1000,295.0,18476,90.1123558170002,"[15, 18, 3, 1, 10, 24, 24, 6, 19, 14, 2, 0, 12, 8, 22, 11, 4, 21, 21, 13, 5, 1, 15, 20, 9]",100,1000,57
219,1000,296.0,18836,93.26820339900223,"[5, 14, 6, 24, 0, 11, 16, 19, 22, 1, 21, 13, 2, 8, 12, 18, 3, 17, 17, 1, 3, 15, 23, 9, 4]",100,1000,58
221,1000,298.0,19242,96.88314897899909,"[5, 17, 9, 11, 13, 15, 23, 3, 0, 21, 14, 22, 10, 0, 7, 12, 19, 2, 24, 9, 20, 4, 1, 18, 8]",100,1000,59
223,1000,296.0,19493,99.16763267699935,"[13, 2, 14, 5, 3, 1, 22, 17, 13, 23, 2, 19, 3, 16, 0, 8, 20, 12, 24, 6, 18, 10, 4, 11, 21]",100,1000,60
225,1000,293.0,19677,103.9637452829993,"[7, 12, 18, 21, 6, 10, 5, 16, 20, 19, 14, 24, 0, 2, 15, 1, 1, 23, 3, 13, 16, 4, 9, 7, 22]",100,1000,61
227,1000,295.0,19935,106.31299850399955,"[17, 14, 22, 5, 18, 16, 15, 11, 24, 0, 20, 23, 13, 3, 9, 12, 4, 24, 21, 0, 18, 7, 14, 6, 2]",100,1000,62
229,1000,294.0,20276,112.71076178899966,"[5, 9, 21, 16, 5, 3, 23, 0, 23, 4, 2, 13, 14, 24, 24, 19, 12, 8, 15, 1, 20, 11, 17, 22, 7]",100,1000,63
231,1000,296.0,20689,116.69546560900199,"[17, 14, 9, 18, 7, 4, 10, 3, 5, 19, 22, 22, 0, 13, 20, 16, 24, 6, 11, 1, 15, 23, 2, 21, 12]",100,1000,64
233,1000,298.0,21085,120.56899147200238,"[2, 11, 18, 14, 5, 10, 24, 22, 17, 7, 4, 15, 9, 20, 10, 21, 19, 1, 13, 8, 3, 11, 0, 23, 16]",100,1000,65
